x,y,z,pitch,yaw,ok,err
0.25,-0.2,0.2,0.45,-0.6,1,9.692237822249584e-05
0.25,-0.2,0.2,0.45,-0.3,1,9.424985233326401e-05
0.25,-0.2,0.2,0.45,0.0,1,5.123753492702162e-05
0.25,-0.2,0.2,0.45,0.3,1,6.629861357735918e-05
0.25,-0.2,0.2,0.45,0.6,0,0.02511739238490485
0.25,-0.2,0.2,0.675,-0.6,1,5.8636181415427174e-05
0.25,-0.2,0.2,0.675,-0.3,1,6.467162800505213e-05
0.25,-0.2,0.2,0.675,0.0,1,8.348610019630791e-05
0.25,-0.2,0.2,0.675,0.3,1,9.125029740810083e-05
0.25,-0.2,0.2,0.675,0.6,1,6.812891115228941e-05
0.25,-0.2,0.2,0.9,-0.6,1,7.053671665274064e-05
0.25,-0.2,0.2,0.9,-0.3,1,8.325718598155972e-05
0.25,-0.2,0.2,0.9,0.0,1,6.471479415079848e-05
0.25,-0.2,0.2,0.9,0.3,1,9.495805411057956e-05
0.25,-0.2,0.2,0.9,0.6,1,8.720566949398014e-05
0.25,-0.2,0.2,1.2,-0.6,1,8.852691155988175e-05
0.25,-0.2,0.2,1.2,-0.3,1,5.537498707000956e-05
0.25,-0.2,0.2,1.2,0.0,1,5.034547675871599e-05
0.25,-0.2,0.2,1.2,0.3,1,5.675743002171687e-05
0.25,-0.2,0.2,1.2,0.6,1,5.051475251434946e-05
0.25,-0.2,0.2,1.57,-0.6,0,0.04255498109120339
0.25,-0.2,0.2,1.57,-0.3,0,0.047173820671619994
0.25,-0.2,0.2,1.57,0.0,0,0.047467795177195245
0.25,-0.2,0.2,1.57,0.3,0,0.04762706436499516
0.25,-0.2,0.2,1.57,0.6,0,0.047877475839364636
0.25,-0.2,0.25,0.0,-0.6,1,7.669286626982702e-05
0.25,-0.2,0.25,0.0,-0.3,1,8.763300276730291e-05
0.25,-0.2,0.25,0.0,0.0,1,8.617598264396164e-05
0.25,-0.2,0.25,0.0,0.3,0,0.0035714813308490986
0.25,-0.2,0.25,0.0,0.6,0,0.1683205786012669
0.25,-0.2,0.25,0.225,-0.6,1,8.249158303925843e-05
0.25,-0.2,0.25,0.225,-0.3,1,6.174282332312079e-05
0.25,-0.2,0.25,0.225,0.0,1,5.981697757473269e-05
0.25,-0.2,0.25,0.225,0.3,1,6.588751333287134e-05
0.25,-0.2,0.25,0.225,0.6,0,0.1863195685125451
0.25,-0.2,0.25,0.45,-0.6,1,9.74856941073241e-05
0.25,-0.2,0.25,0.45,-0.3,1,9.614710957870042e-05
0.25,-0.2,0.25,0.45,0.0,1,5.485346019717016e-05
0.25,-0.2,0.25,0.45,0.3,1,7.593127667332607e-05
0.25,-0.2,0.25,0.45,0.6,0,0.20502387894673763
0.25,-0.2,0.25,0.675,-0.6,1,5.9007339426209523e-05
0.25,-0.2,0.25,0.675,-0.3,1,6.713573227712984e-05
0.25,-0.2,0.25,0.675,0.0,1,9.107437914919402e-05
0.25,-0.2,0.25,0.675,0.3,1,9.95555762041446e-05
0.25,-0.2,0.25,0.675,0.6,0,0.08306924651190092
0.25,-0.2,0.25,0.9,-0.6,1,7.109559688942037e-05
0.25,-0.2,0.25,0.9,-0.3,1,8.797906859972495e-05
0.25,-0.2,0.25,0.9,0.0,1,6.870925211627243e-05
0.25,-0.2,0.25,0.9,0.3,1,7.187087327827753e-05
0.25,-0.2,0.25,0.9,0.6,0,0.08736797420114645
0.25,-0.2,0.25,1.2,-0.6,1,8.986497980291181e-05
0.25,-0.2,0.25,1.2,-0.3,1,5.978187068542196e-05
0.25,-0.2,0.25,1.2,0.0,1,9.045811705076401e-05
0.25,-0.2,0.25,1.2,0.3,0,0.02826595375682136
0.25,-0.2,0.25,1.2,0.6,0,0.17636048170763366
0.25,-0.2,0.25,1.57,-0.6,0,0.24243934356495161
0.25,-0.2,0.25,1.57,-0.3,0,0.27169359901235157
0.25,-0.2,0.25,1.57,0.0,0,0.21651005076797328
0.25,-0.2,0.25,1.57,0.3,0,0.2728128982203911
0.25,-0.2,0.25,1.57,0.6,0,0.22802920056000067
0.25,-0.1,0.08,0.0,-0.6,0,0.384185217722911
0.25,-0.1,0.08,0.0,-0.3,0,0.20241338611692544
0.25,-0.1,0.08,0.0,0.0,0,0.13825217551410418
0.25,-0.1,0.08,0.0,0.3,0,0.2176149382608526
0.25,-0.1,0.08,0.0,0.6,0,0.06223993084304492
0.25,-0.1,0.08,0.225,-0.6,0,0.21587062285117403
0.25,-0.1,0.08,0.225,-0.3,0,0.25770035879617287
0.25,-0.1,0.08,0.225,0.0,0,0.11044936627767572
0.25,-0.1,0.08,0.225,0.3,1,8.16706850183062e-05
0.25,-0.1,0.08,0.225,0.6,1,7.587063999465684e-05
0.25,-0.1,0.08,0.45,-0.6,1,5.002584524285031e-05
0.25,-0.1,0.08,0.45,-0.3,1,7.444660739999273e-05
0.25,-0.1,0.08,0.45,0.0,1,9.320878126355e-05
0.25,-0.1,0.08,0.45,0.3,1,6.694909862068987e-05
0.25,-0.1,0.08,0.45,0.6,1,5.183049092892771e-05
0.25,-0.1,0.08,0.675,-0.6,1,5.762606273733911e-05
0.25,-0.1,0.08,0.675,-0.3,1,9.63167708801278e-05
0.25,-0.1,0.08,0.675,0.0,1,5.995943296587033e-05
0.25,-0.1,0.08,0.675,0.3,1,8.238379932293054e-05
0.25,-0.1,0.08,0.675,0.6,1,7.314980562994424e-05
0.25,-0.1,0.08,0.9,-0.6,1,6.717267207162737e-05
0.25,-0.1,0.08,0.9,-0.3,1,6.080387612035581e-05
0.25,-0.1,0.08,0.9,0.0,1,7.232962473530193e-05
0.25,-0.1,0.08,0.9,0.3,1,9.768733541595693e-05
0.25,-0.1,0.08,0.9,0.6,1,8.830961572574763e-05
0.25,-0.1,0.08,1.2,-0.6,1,8.163566508151018e-05
0.25,-0.1,0.08,1.2,-0.3,1,7.85857293812977e-05
0.25,-0.1,0.08,1.2,0.0,1,9.102944520714113e-05
0.25,-0.1,0.08,1.2,0.3,1,6.317044033447223e-05
0.25,-0.1,0.08,1.2,0.6,1,9.473076717302409e-05
0.25,-0.1,0.08,1.57,-0.6,1,5.061047820227114e-05
0.25,-0.1,0.08,1.57,-0.3,1,5.1059257786681636e-05
0.25,-0.1,0.08,1.57,0.0,1,5.9525820884234675e-05
0.25,-0.1,0.08,1.57,0.3,1,8.579667568784154e-05
0.25,-0.1,0.08,1.57,0.6,1,9.05558764890462e-05
0.25,-0.1,0.12,0.0,-0.6,0,0.3038389225102119
0.25,-0.1,0.12,0.0,-0.3,0,0.18323781617715101
0.25,-0.1,0.12,0.0,0.0,0,0.08674895946604823
0.25,-0.1,0.12,0.0,0.3,0,0.1428666970177393
0.25,-0.1,0.12,0.0,0.6,0,0.05979275519037524
0.25,-0.1,0.12,0.225,-0.6,0,0.06038442089683206
0.25,-0.1,0.12,0.225,-0.3,0,0.07781571758334577
0.25,-0.1,0.12,0.225,0.0,1,7.177997638815581e-05
0.25,-0.1,0.12,0.225,0.3,1,7.665992592622595e-05
0.25,-0.1,0.12,0.225,0.6,1,7.751426244140054e-05
0.25,-0.1,0.12,0.45,-0.6,1,9.762763046660398e-05
0.25,-0.1,0.12,0.45,-0.3,1,7.162986543305375e-05
0.25,-0.1,0.12,0.45,0.0,1,9.293363433873909e-05
0.25,-0.1,0.12,0.45,0.3,1,6.87741528646479e-05
0.25,-0.1,0.12,0.45,0.6,1,5.852843646279809e-05
0.25,-0.1,0.12,0.675,-0.6,1,5.7340172702164916e-05
0.25,-0.1,0.12,0.675,-0.3,1,9.58910615043905e-05
0.25,-0.1,0.12,0.675,0.0,1,6.058878516887995e-05
0.25,-0.1,0.12,0.675,0.3,1,8.71013312197625e-05
0.25,-0.1,0.12,0.675,0.6,1,5.76875729786274e-05
0.25,-0.1,0.12,0.9,-0.6,1,6.705375600469508e-05
0.25,-0.1,0.12,0.9,-0.3,1,6.068082618502032e-05
0.25,-0.1,0.12,0.9,0.0,1,7.342793427852136e-05
0.25,-0.1,0.12,0.9,0.3,1,5.1764516670292454e-05
0.25,-0.1,0.12,0.9,0.6,1,8.881154490553515e-05
0.25,-0.1,0.12,1.2,-0.6,1,8.183110641517e-05
0.25,-0.1,0.12,1.2,-0.3,1,7.849304435174267e-05
0.25,-0.1,0.12,1.2,0.0,1,9.195151336986412e-05
0.25,-0.1,0.12,1.2,0.3,1,6.561236997144529e-05
0.25,-0.1,0.12,1.2,0.6,1,9.568777644645803e-05
0.25,-0.1,0.12,1.57,-0.6,1,5.087290750010312e-05
0.25,-0.1,0.12,1.57,-0.3,1,5.087896222591666e-05
0.25,-0.1,0.12,1.57,0.0,1,5.929866532143537e-05
0.25,-0.1,0.12,1.57,0.3,1,8.557534883075139e-05
0.25,-0.1,0.12,1.57,0.6,1,9.453295166370923e-05
0.25,-0.1,0.16,0.0,-0.6,0,0.15827232319935172
0.25,-0.1,0.16,0.0,-0.3,0,0.13198243429207965
0.25,-0.1,0.16,0.0,0.0,0,0.08444763135531687
0.25,-0.1,0.16,0.0,0.3,1,5.294155582076385e-05
0.25,-0.1,0.16,0.0,0.6,0,0.05955993560472243
0.25,-0.1,0.16,0.225,-0.6,1,8.211783149494602e-05
0.25,-0.1,0.16,0.225,-0.3,1,9.903445759718843e-05
0.25,-0.1,0.16,0.225,0.0,1,5.4489513371855605e-05
0.25,-0.1,0.16,0.225,0.3,1,8.667221352553606e-05
0.25,-0.1,0.16,0.225,0.6,1,5.684683208490316e-05
0.25,-0.1,0.16,0.45,-0.6,1,9.710964784522744e-05
0.25,-0.1,0.16,0.45,-0.3,1,7.12354584700268e-05
0.25,-0.1,0.16,0.45,0.0,1,9.334748355935251e-05
0.25,-0.1,0.16,0.45,0.3,1,7.407572266524587e-05
0.25,-0.1,0.16,0.45,0.6,1,6.278740371835938e-05
0.25,-0.1,0.16,0.675,-0.6,1,5.715003316559043e-05
0.25,-0.1,0.16,0.675,-0.3,1,9.572266461071794e-05
0.25,-0.1,0.16,0.675,0.0,1,6.186977235719303e-05
0.25,-0.1,0.16,0.675,0.3,1,9.545621354736717e-05
0.25,-0.1,0.16,0.675,0.6,1,5.4310149372581876e-05
0.25,-0.1,0.16,0.9,-0.6,1,6.702406617986523e-05
0.25,-0.1,0.16,0.9,-0.3,1,6.0704322158533845e-05
0.25,-0.1,0.16,0.9,0.0,1,7.548627278650161e-05
0.25,-0.1,0.16,0.9,0.3,1,5.669656156297538e-05
0.25,-0.1,0.16,0.9,0.6,1,7.774069519269413e-05
0.25,-0.1,0.16,1.2,-0.6,1,8.207657031757571e-05
0.25,-0.1,0.16,1.2,-0.3,1,7.858843997380001e-05
0.25,-0.1,0.16,1.2,0.0,1,9.384957712300541e-05
0.25,-0.1,0.16,1.2,0.3,1,6.945685830540556e-05
0.25,-0.1,0.16,1.2,0.6,1,9.33669604907265e-05
0.25,-0.1,0.16,1.57,-0.6,1,5.121246303730073e-05
0.25,-0.1,0.16,1.57,-0.3,1,5.0852368932840184e-05
0.25,-0.1,0.16,1.57,0.0,1,5.939337289432755e-05
0.25,-0.1,0.16,1.57,0.3,1,8.527837257929509e-05
0.25,-0.1,0.16,1.57,0.6,1,5.0218945985184764e-05
0.25,-0.1,0.2,0.0,-0.6,1,7.442088261437503e-05
0.25,-0.1,0.2,0.0,-0.3,1,7.693330617831324e-05
0.25,-0.1,0.2,0.0,0.0,1,9.322981301737681e-05
0.25,-0.1,0.2,0.0,0.3,1,5.842964077864388e-05
0.25,-0.1,0.2,0.0,0.6,0,0.07343430727246399
0.25,-0.1,0.2,0.225,-0.6,1,8.194108068534815e-05
0.25,-0.1,0.2,0.225,-0.3,1,9.869392799737216e-05
0.25,-0.1,0.2,0.225,0.0,1,5.436202033707213e-05
0.25,-0.1,0.2,0.225,0.3,1,8.434580838012447e-05
0.25,-0.1,0.2,0.225,0.6,1,8.15504689683122e-05
0.25,-0.1,0.2,0.45,-0.6,1,9.68250574459678e-05
0.25,-0.1,0.2,0.45,-0.3,1,7.118942297782406e-05
0.25,-0.1,0.2,0.45,0.0,1,9.46941802999514e-05
0.25,-0.1,0.2,0.45,0.3,1,8.771525416714199e-05
0.25,-0.1,0.2,0.45,0.6,1,7.707843552915203e-05
0.25,-0.1,0.2,0.675,-0.6,1,5.7081768941624314e-05
0.25,-0.1,0.2,0.675,-0.3,1,9.5926585958778e-05
0.25,-0.1,0.2,0.675,0.0,1,6.450401883648853e-05
0.25,-0.1,0.2,0.675,0.3,1,5.622191113699487e-05
0.25,-0.1,0.2,0.675,0.6,1,5.9977341414322695e-05
0.25,-0.1,0.2,0.9,-0.6,1,6.708818297310628e-05
0.25,-0.1,0.2,0.9,-0.3,1,6.1004906375387607e-05
0.25,-0.1,0.2,0.9,0.0,1,8.00208696118616e-05
0.25,-0.1,0.2,0.9,0.3,1,6.768881250954659e-05
0.25,-0.1,0.2,0.9,0.6,1,6.545319268917837e-05
0.25,-0.1,0.2,1.2,-0.6,1,8.237536247753284e-05
0.25,-0.1,0.2,1.2,-0.3,1,7.922483427139722e-05
0.25,-0.1,0.2,1.2,0.0,1,9.901562104906432e-05
0.25,-0.1,0.2,1.2,0.3,1,7.859016667849774e-05
0.25,-0.1,0.2,1.2,0.6,1,6.340859995186686e-05
0.25,-0.1,0.2,1.57,-0.6,0,0.01555779041368417
0.25,-0.1,0.2,1.57,-0.3,0,0.015457552271848666
0.25,-0.1,0.2,1.57,0.0,0,0.01581579580399023
0.25,-0.1,0.2,1.57,0.3,0,0.01594356372065068
0.25,-0.1,0.2,1.57,0.6,0,0.016113583741207485
0.25,-0.1,0.25,0.0,-0.6,1,7.482630220533987e-05
0.25,-0.1,0.25,0.0,-0.3,1,7.815985891270216e-05
0.25,-0.1,0.25,0.0,0.0,1,5.925467028945384e-05
0.25,-0.1,0.25,0.0,0.3,1,5.240691701505629e-05
0.25,-0.1,0.25,0.0,0.6,0,0.062115822316602495
0.25,-0.1,0.25,0.225,-0.6,1,8.212566716440818e-05
0.25,-0.1,0.25,0.225,-0.3,1,9.970677057438847e-05
0.25,-0.1,0.25,0.225,0.0,1,5.468479632944666e-05
0.25,-0.1,0.25,0.225,0.3,1,9.842974854415768e-05
0.25,-0.1,0.25,0.225,0.6,0,0.0905217937917567
0.25,-0.1,0.25,0.45,-0.6,1,9.68823456650263e-05
0.25,-0.1,0.25,0.45,-0.3,1,7.172583635548107e-05
0.25,-0.1,0.25,0.45,0.0,1,9.885202732124319e-05
0.25,-0.1,0.25,0.45,0.3,1,9.167685381028461e-05
0.25,-0.1,0.25,0.45,0.6,1,5.055203414328089e-05
0.25,-0.1,0.25,0.675,-0.6,1,5.721332529684917e-05
0.25,-0.1,0.25,0.675,-0.3,1,9.706365235012256e-05
0.25,-0.1,0.25,0.675,0.0,1,7.324492572794996e-05
0.25,-0.1,0.25,0.675,0.3,1,6.533398972285683e-05
0.25,-0.1,0.25,0.675,0.6,1,7.417765151321095e-05
0.25,-0.1,0.25,0.9,-0.6,1,6.733603576132493e-05
0.25,-0.1,0.25,0.9,-0.3,1,6.248195032230998e-05
0.25,-0.1,0.25,0.9,0.0,1,5.057333249415035e-05
0.25,-0.1,0.25,0.9,0.3,1,8.251012036571397e-05
0.25,-0.1,0.25,0.9,0.6,1,7.462457015054387e-05
0.25,-0.1,0.25,1.2,-0.6,1,8.302931744425595e-05
0.25,-0.1,0.25,1.2,-0.3,1,8.414410798053716e-05
